,Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories,date
0,1,00:03:17.539,00:03:11.000,0.5,--,20,0:06:35  ,0:06:22  ,0:06:02  ,161.15625,171.0,94.23695561288604,132.0,142.0,--,42,2022-10-28 07:28:34
1,2,00:03:11.478,00:03:11.478,0.5,--,15,0:06:22  ,0:06:22  ,0:05:52  ,166.1875,169.0,94.27662451794572,139.0,148.0,--,43,2022-10-28 07:28:34
2,3,00:03:10.147,00:03:10.147,0.5,--,--,0:06:20  ,0:06:20  ,0:06:05  ,167.9375,172.0,93.94725298670149,143.0,152.0,--,40,2022-10-28 07:28:34
3,4,00:03:02.270,00:03:01.000,0.5,--,8,0:06:04  ,0:06:02  ,0:05:29  ,168.03125,172.0,97.95260555899272,147.0,152.0,--,44,2022-10-28 07:28:34
4,5,00:02:59.871,00:02:59.871,0.5,--,--,0:05:59  ,0:05:59  ,0:05:39  ,167.546875,170.0,99.5459895846643,148.0,156.0,--,41,2022-10-28 07:28:34
5,6,00:03:04.523,00:03:04.523,0.5,1,3,0:06:09  ,0:06:09  ,0:05:55  ,166.1875,169.0,97.83007917634924,147.0,154.0,--,42,2022-10-28 07:28:34
6,7,00:03:13.269,00:03:13.269,0.5,7,--,0:06:26  ,0:06:26  ,0:05:41  ,166.046875,170.0,93.48207739177386,146.0,160.0,--,44,2022-10-28 07:28:34
7,8,00:03:17.212,00:03:17.000,0.5,--,--,0:06:34  ,0:06:34  ,0:05:59  ,165.671875,170.0,91.82038670331396,155.0,162.0,--,47,2022-10-28 07:28:34
8,9,00:02:52.957,00:02:52.957,0.42,11,--,0:06:49  ,0:06:49  ,0:06:32  ,164.90625,169.0,88.79347410092528,152.0,158.0,--,41,2022-10-28 07:28:34
9,10,00:00:15.000,00:00:15.000,0.03,--,--,0:08:06  ,0:08:06  ,0:07:00  ,163.140625,165.0,75.59122670691265,158.0,159.0,--,4,2022-10-28 07:28:34
10,11,00:00:45.000,00:00:45.000,0.11,10,--,0:06:40  ,0:06:40  ,0:07:12  ,164.640625,167.0,90.93745922107811,162.0,165.0,--,10,2022-10-28 07:28:34
11,12,00:00:15.000,00:00:15.000,0.04,9,--,0:06:47  ,0:06:47  ,0:07:00  ,165.40625,167.0,89.1139203606178,164.0,164.0,--,3,2022-10-28 07:28:34
12,13,00:00:04.976,00:00:04.976,0.02,--,--,0:04:54  ,0:04:54  ,0:06:53  ,167.0,167.0,122.1672457522574,164.0,165.0,--,1,2022-10-28 07:28:34
13,14,00:00:00.964,00:00:00.964,0.01,--,--,0:02:05  ,0:02:05  ,0:06:47  ,167.0,167.0,286.9779082631174,165.0,165.0,--,0,2022-10-28 07:28:34
14,Summary,00:29:30.206,00:29:22.185,4.63,38,46,0:06:22  ,0:06:20  ,0:05:29  ,165.875,172.0,94.52140372197076,146.0,165.0,--,402,2022-10-28 07:28:34
15,1,00:06:30.569,00:06:30.569,1.0,0,37,0:06:30  ,0:06:30  ,0:05:42  ,167.59375,172.0,91.66333658458387,134.0,147.0,--,79,2023-01-05 06:22:42
16,2,00:06:27.419,00:06:27.000,1.0,5,8,0:06:27  ,0:06:27  ,0:06:04  ,169.078125,173.0,91.59734897229912,145.0,152.0,--,84,2023-01-05 06:22:42
17,3,00:06:25.177,00:06:25.000,1.0,5,8,0:06:25  ,0:06:25  ,0:06:08  ,168.53125,171.0,92.429469398611,145.0,155.0,--,82,2023-01-05 06:22:42
18,4,00:00:36.835,00:00:36.835,0.1,0,1,0:06:19  ,0:06:19  ,0:06:12  ,168.84375,170.0,93.56912053766902,145.0,146.0,--,8,2023-01-05 06:22:42
19,5,00:00:30.000,00:00:29.000,0.13,0,1,0:03:54  ,0:03:47  ,0:04:05  ,189.375,196.0,134.8858098700495,152.0,164.0,--,8,2023-01-05 06:22:42
20,6,00:02:00.000,00:02:00.000,0.41,0,0,0:04:51  ,0:04:51  ,0:04:02  ,180.453125,194.0,113.99636704205992,168.0,171.0,--,33,2023-01-05 06:22:42
21,7,00:04:00.000,00:04:00.000,0.79,0,0,0:05:04  ,0:05:04  ,0:04:40  ,177.65625,184.0,110.78979599549253,168.0,172.0,--,64,2023-01-05 06:22:42
22,8,00:05:00.000,00:05:00.000,0.78,1,0,0:06:22  ,0:06:22  ,0:04:53  ,169.859375,179.0,92.27044717597278,156.0,171.0,--,69,2023-01-05 06:22:42
23,9,00:00:30.000,00:00:30.000,0.13,1,0,0:03:57  ,0:03:57  ,0:03:21  ,181.5,205.0,138.93113149427515,158.0,160.0,--,8,2023-01-05 06:22:42
