Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:03:06.863,00:03:02.000,0.5,3,--,0:06:13  ,0:06:04  ,0:06:10  ,163.59375,172.0,98.13664682481095,130.0,146.0,--,38
2,00:03:11.436,00:03:11.000,0.5,--,--,0:06:22  ,0:06:22  ,0:05:53  ,171.28125,174.0,91.49298759587889,143.0,147.0,--,44
3,00:03:06.756,00:03:06.756,0.5,5,4,0:06:13  ,0:06:13  ,0:06:08  ,172.8125,176.0,92.95474116445129,144.0,149.0,--,43
4,00:03:09.313,00:03:09.000,0.5,2,--,0:06:18  ,0:06:18  ,0:05:58  ,171.25,174.0,92.53589477532867,141.0,148.0,--,44
5,00:03:08.382,00:03:08.382,0.5,--,--,0:06:16  ,0:06:16  ,0:05:54  ,171.96875,176.0,92.6045462582043,147.0,151.0,--,44
6,00:03:13.849,00:03:13.000,0.5,--,2,0:06:27  ,0:06:26  ,0:06:00  ,171.03125,174.0,90.48617330289024,143.0,149.0,--,42
7,00:03:10.078,00:03:10.078,0.5,--,--,0:06:20  ,0:06:20  ,0:06:12  ,172.046875,174.0,91.73659275371008,147.0,152.0,--,44
8,00:03:07.860,00:03:07.000,0.5,5,5,0:06:15  ,0:06:14  ,0:06:13  ,171.390625,174.0,93.17510113220546,147.0,149.0,--,43
9,00:03:08.777,00:03:08.777,0.5,8,5,0:06:17  ,0:06:17  ,0:06:06  ,171.328125,174.0,92.75632405412455,149.0,154.0,--,44
10,00:03:09.485,00:03:09.485,0.5,1,5,0:06:18  ,0:06:18  ,0:06:06  ,170.859375,174.0,92.66326613306252,148.0,154.0,--,43
11,00:03:08.176,00:03:08.000,0.5,--,3,0:06:16  ,0:06:16  ,0:06:12  ,171.796875,174.0,92.79867476494587,149.0,152.0,--,43
12,00:03:09.984,00:03:09.984,0.5,--,--,0:06:19  ,0:06:19  ,0:06:04  ,170.875,174.0,92.41143510648027,150.0,153.0,--,43
13,00:03:06.707,00:03:06.707,0.5,5,3,0:06:13  ,0:06:13  ,0:06:10  ,171.140625,174.0,93.88744888613327,151.0,153.0,--,43
14,00:03:09.002,00:03:09.000,0.5,--,--,0:06:18  ,0:06:18  ,0:06:13  ,170.625,174.0,93.02768057809358,149.0,151.0,--,42
15,00:00:53.332,00:00:53.000,0.15,3,--,0:06:06  ,0:06:04  ,0:05:59  ,170.71875,172.0,95.86401058571884,148.0,151.0,--,12
16,00:00:09.358,00:00:09.000,0.03,--,--,0:06:01  ,0:05:47  ,0:05:59  ,170.0,170.0,97.60758222352379,151.0,151.0,--,2
Summary,00:45:09.358,00:45:01.169,7.17,32,29,0:06:17  ,0:06:16  ,0:05:53  ,170.859375,176.0,92.96798710109267,146.0,154.0,--,614
