,resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,average_speed,max_speed,average_cadence,average_watts,max_watts,weighted_average_watts,kilojoules,device_watts,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score
0,2,98364076,S9/18 - 2/5 - Prépa MDP - VMA,7597.5,2704,2715,40.0,Run,Run,0,10660161665,2024-01-30T05:30:13Z,2024-01-30T06:30:13Z,(GMT+01:00) Europe/Paris,3600.0,,,,0,2,0,1,0,False,False,False,False,followers_only,False,g12358729,2.81,4.888,87.6,377.0,608,385,1019.3,True,True,149.3,176.0,False,True,73.6,26.8,11402208366,11402208366,garmin_ping_318229679110,False,0,0,False,46.0
0,2,98364076,S9/18 - 2/5 - Prépa MDP - VMA,7597.5,2704,2715,40.0,Run,Run,0.0,10660161665,2024-01-30T05:30:13Z,2024-01-30T06:30:13Z,(GMT+01:00) Europe/Paris,3600.0,,,,0,2,0,1,0,False,False,False,False,followers_only,False,g12358729,2.81,4.888,87.6,377.0,608.0,385.0,1019.3,True,True,149.3,176.0,False,True,73.6,26.8,11402208366.0,11402208366,garmin_ping_318229679110,False,0,0,False,46.0
1,2,98364076,S9 - 1/5 - Prépa MDP - Footing EF,6279.4,2400,2400,51.0,Run,Run,0.0,10651550873,2024-01-29T05:40:30Z,2024-01-29T06:40:30Z,(GMT+01:00) Europe/Paris,3600.0,,,,0,2,0,1,0,False,False,False,False,followers_only,False,g15692877,2.616,3.59,85.6,355.5,503.0,358.0,853.2,True,True,140.3,158.0,False,True,73.6,26.2,11393362259.0,11393362259,garmin_ping_317982314466,False,0,0,False,21.0
2,2,98364076,S8 - 5/5 - Prépa MDP - endurance active,10838.8,3602,3686,57.0,Run,Run,0.0,10640863987,2024-01-27T14:59:54Z,2024-01-27T15:59:54Z,(GMT+01:00) Europe/Paris,3600.0,,,,4,4,0,1,0,False,False,False,False,followers_only,False,g14159954,3.009,3.714,87.3,394.8,608.0,394.0,1422.2,True,True,161.0,179.0,False,True,72.4,25.4,11382089050.0,11382089050,garmin_ping_317685285981,False,1,0,False,111.0
3,2,98364076,S8 - 4/5 - Prépa MDP - Footing EF,7291.2,2702,2812,41.0,Run,Run,0.0,10634488657,2024-01-26T17:07:47Z,2024-01-26T18:07:47Z,(GMT+01:00) Europe/Paris,3600.0,,,,0,2,0,1,0,False,False,False,False,followers_only,False,g15692877,2.698,3.592,85.0,370.6,603.0,369.0,1001.3,True,True,147.3,171.0,False,True,76.6,28.8,11375477381.0,11375477381,garmin_ping_317515239897,False,0,0,False,48.0
4,2,98364076,S8 - 3/5 - Prépa MDP - Séance Seuil60,11101.3,3780,3845,57.0,Run,Run,0.0,10624899048,2024-01-25T06:06:14Z,2024-01-25T07:06:14Z,(GMT+01:00) Europe/Paris,3600.0,,,,0,6,0,1,0,False,False,False,False,followers_only,False,g14159954,2.937,4.068,86.9,395.2,547.0,403.0,1494.0,True,True,154.6,175.0,False,True,73.4,28.4,11365638903.0,11365638903,garmin_ping_317248058274,False,0,0,False,87.0
5,2,98364076,S8 - 2/5 - Prépa MDP - VMA,7897.1,2747,2851,42.0,Run,Run,0.0,10611484806,2024-01-23T05:24:00Z,2024-01-23T06:24:00Z,(GMT+01:00) Europe/Paris,3600.0,,,,0,3,0,1,0,False,False,False,False,followers_only,False,g12358729,2.875,4.998,87.7,384.3,582.0,388.0,1055.6,True,True,151.0,175.0,False,True,72.8,24.0,11351919456.0,11351919456,garmin_ping_316867475284,False,0,0,False,52.0
6,2,98364076,S8 - 1/5 - Prépa MDP - footing EF,6116.0,2470,2470,61.0,Run,Run,0.0,10605420486,2024-01-22T05:39:46Z,2024-01-22T06:39:46Z,(GMT+01:00) Europe/Paris,3600.0,,,,0,3,0,1,0,False,False,False,False,followers_only,False,g15692877,2.476,4.12,84.6,345.8,500.0,350.0,854.0,True,True,137.3,157.0,False,True,75.6,27.8,11345700622.0,11345700622,garmin_ping_316680402809,False,0,0,False,16.0
7,2,98364076,S7 - 4/4 - Prépa MDP - sortie longue,16604.2,5829,5870,71.0,Run,Run,2.0,10595740553,2024-01-20T14:45:36Z,2024-01-20T15:45:36Z,(GMT+01:00) Europe/Paris,3600.0,,,,0,3,0,1,0,False,False,False,False,followers_only,False,g12934713,2.849,3.932,87.5,385.6,624.0,389.0,2247.9,True,True,159.0,179.0,False,True,74.2,29.0,11335685228.0,11335685228,garmin_ping_316393018634,False,0,0,False,170.0
8,2,98364076,S7 - 3/4 - Prépa MDP - Seance Seuil60,11003.4,3729,3800,62.0,Run,Run,0.0,10586584564,2024-01-19T06:17:43Z,2024-01-19T07:17:43Z,(GMT+01:00) Europe/Paris,3600.0,,,,1,4,0,1,0,False,False,False,False,followers_only,False,g14159954,2.951,4.16,88.7,378.4,581.0,387.0,1411.2,True,True,160.5,181.0,False,True,76.8,28.0,11326271891.0,11326271891,garmin_ping_316139894376,False,0,0,False,115.0
9,2,98364076,S7 - 2/4 - Prépa MDP - Footing EF,7215.0,2739,2772,52.0,Run,Run,0.0,10574090870,2024-01-17T05:44:13Z,2024-01-17T06:44:13Z,(GMT+01:00) Europe/Paris,3600.0,,,,0,2,0,1,0,False,False,False,False,followers_only,False,g12934713,2.634,3.476,87.1,349.3,528.0,350.0,956.7,True,True,148.4,171.0,False,True,73.2,32.0,11313344078.0,11313344078,garmin_ping_315772359224,False,0,0,False,50.0
10,2,98364076,"S7 - 2""/4 - Prépa MDP - Easy run",6105.7,2444,2550,50.0,Run,Run,0.0,10568592926,2024-01-16T06:41:34Z,2024-01-16T07:41:34Z,(GMT+01:00) Europe/Paris,3600.0,,,,0,4,0,1,0,False,False,False,False,followers_only,False,g15692877,2.498,3.19,86.5,327.9,497.0,325.0,801.5,True,True,139.4,164.0,False,True,74.8,26.6,11307662105.0,11307662105,garmin_ping_315621966918,False,0,0,False,19.0
11,2,98364076,S7 - 1/4 - Prépa MDP - Séance VMA,7148.8,2521,2573,44.0,Run,Run,0.0,10561245044,2024-01-15T05:39:29Z,2024-01-15T06:39:29Z,(GMT+01:00) Europe/Paris,3600.0,,,,0,5,0,1,0,False,False,False,False,followers_only,False,g12358729,2.836,4.982,88.9,375.7,644.0,384.0,947.2,True,True,151.9,175.0,False,True,75.4,28.8,11300069539.0,11300069539,garmin_ping_315401241853,False,0,0,False,50.0
12,2,98364076,S6 - 4/4 - Prépa MDP - EF + lignes droites,7147.2,2701,2729,47.0,Run,Run,0.0,10548122001,2024-01-13T08:41:08Z,2024-01-13T09:41:08Z,(GMT+01:00) Europe/Paris,3600.0,,,,0,4,0,1,0,False,False,False,False,followers_only,False,g12934713,2.646,6.254,86.1,349.1,806.0,352.0,942.8,True,True,149.5,179.0,False,True,73.8,25.0,11286369001.0,11286369001,garmin_ping_315053937812,False,0,0,False,47.0
13,2,98364076,S6 - 3/4 - Prépa MDP - Footing EF,7222.5,2701,2762,45.0,Run,Run,0.0,10541838089,2024-01-12T06:17:09Z,2024-01-12T07:17:09Z,(GMT+01:00) Europe/Paris,3600.0,,,,0,2,0,1,0,False,False,False,False,followers_only,False,g15692877,2.674,3.504,86.5,348.6,538.0,348.0,941.5,True,True,146.2,167.0,False,True,76.6,28.4,11279795316.0,11279795316,garmin_ping_314858980904,False,0,0,False,43.0
