id,activity,athlete,lap_index,split,start_index,end_index,moving_time,start_date_local,distance,average_speed,max_speed,total_elevation_gain,average_cadence,average_watts,average_heartrate,max_heartrate,pace_zone,Z1,Z2,Z3,Z4,Z5,resource_state,name,elapsed_time,start_date,device_watts
37728828926,10872495443,98364076,1,1,0,1649,1800,2024-03-02T08:50:41Z,4920.06,2.73,3.498,23.2,86.7,370.5,149.5,159.0,1.0,4920.06,0.0,0.0,0.0,0.0,,,,,
37728828955,10872495443,98364076,2,2,1650,2869,1219,2024-03-02T09:20:47Z,4000.0,3.28,3.9,10.6,89.1,439.8,167.3,172.0,3.0,0.0,0.0,4000.0,0.0,0.0,,,,,
37728828965,10872495443,98364076,3,3,2870,3469,600,2024-03-02T09:41:07Z,1810.82,3.02,3.728,6.0,88.3,416.0,165.0,169.0,2.0,0.0,1810.82,0.0,0.0,0.0,,,,,
37728828980,10872495443,98364076,4,4,3470,4686,1214,2024-03-02T09:51:07Z,4000.0,3.29,7.378,27.2,89.2,440.9,168.1,172.0,3.0,0.0,0.0,4000.0,0.0,0.0,,,,,
37728828986,10872495443,98364076,5,5,4687,5287,600,2024-03-02T10:11:58Z,1803.69,3.01,3.76,0.0,88.1,393.6,161.5,167.0,2.0,0.0,1803.69,0.0,0.0,0.0,,,,,
37728828999,10872495443,98364076,6,6,5288,6510,1222,2024-03-02T10:22:05Z,4000.0,3.27,4.186,3.8,89.9,444.0,166.5,172.0,3.0,0.0,0.0,4000.0,0.0,0.0,,,,,
37728829004,10872495443,98364076,7,7,6511,7109,600,2024-03-02T10:42:28Z,1795.49,2.99,3.602,0.0,88.7,409.1,162.4,168.0,2.0,0.0,1795.49,0.0,0.0,0.0,,,,,
37728829013,10872495443,98364076,8,8,7110,7835,848,2024-03-02T10:52:27Z,2279.56,2.69,3.194,46.4,87.6,406.9,159.6,169.0,1.0,2279.56,0.0,0.0,0.0,0.0,,,,,
37703305233,10866155836,98364076,1,1,0,2441,2700,2024-03-01T09:02:13Z,7364.41,2.73,3.448,61.0,86.8,370.1,143.7,165.0,1.0,7364.41,0.0,0.0,0.0,0.0,,,,,
37676173063,10859392322,98364076,1,1,0,1082,1200,2024-02-29T07:13:03Z,3288.16,2.74,4.0,0.0,86.9,346.4,136.3,149.0,2.0,0.0,3288.16,0.0,0.0,0.0,,,,,
37676173067,10859392322,98364076,2,2,1083,1442,360,2024-02-29T07:34:00Z,1252.79,3.48,4.034,9.0,91.1,452.2,163.5,167.0,3.0,0.0,0.0,1252.79,0.0,0.0,,,,,
37676173069,10859392322,98364076,3,3,1443,1562,120,2024-02-29T07:40:00Z,298.08,2.48,3.732,0.0,85.1,344.0,147.5,163.0,1.0,298.08,0.0,0.0,0.0,0.0,,,,,
37676173071,10859392322,98364076,4,4,1563,1922,360,2024-02-29T07:42:00Z,1277.62,3.55,4.372,0.0,91.9,447.5,164.7,172.0,4.0,0.0,0.0,0.0,1277.62,0.0,,,,,
37676173072,10859392322,98364076,5,5,1923,2042,120,2024-02-29T07:48:00Z,312.63,2.61,3.388,0.0,86.1,357.4,153.7,167.0,1.0,312.63,0.0,0.0,0.0,0.0,,,,,
37676173075,10859392322,98364076,6,6,2043,2402,360,2024-02-29T07:50:00Z,1279.61,3.55,4.176,10.2,92.4,466.2,168.2,173.0,4.0,0.0,0.0,0.0,1279.61,0.0,,,,,
37676173077,10859392322,98364076,7,7,2403,2522,120,2024-02-29T07:56:00Z,289.86,2.42,3.616,0.0,84.2,321.5,154.5,172.0,1.0,289.86,0.0,0.0,0.0,0.0,,,,,
37676173083,10859392322,98364076,8,8,2523,2882,360,2024-02-29T07:58:00Z,1288.25,3.58,4.31,0.0,91.6,445.8,166.4,171.0,4.0,0.0,0.0,0.0,1288.25,0.0,,,,,
37676173088,10859392322,98364076,9,9,2883,3002,120,2024-02-29T08:04:00Z,301.85,2.52,3.518,0.0,85.7,351.6,159.9,171.0,1.0,301.85,0.0,0.0,0.0,0.0,,,,,
37676173095,10859392322,98364076,10,10,3003,3362,360,2024-02-29T08:06:00Z,1280.92,3.56,4.124,6.2,92.0,461.5,169.6,174.0,4.0,0.0,0.0,0.0,1280.92,0.0,,,,,
37676173103,10859392322,98364076,11,11,3363,3482,120,2024-02-29T08:12:00Z,258.16,2.15,3.298,4.8,74.5,306.3,155.3,173.0,1.0,258.16,0.0,0.0,0.0,0.0,,,,,
37676173115,10859392322,98364076,12,12,3483,4081,600,2024-02-29T08:14:00Z,1660.71,2.77,3.36,23.0,87.5,391.2,153.2,164.0,2.0,0.0,1660.71,0.0,0.0,0.0,,,,,
37676173119,10859392322,98364076,13,13,4081,4081,126,2024-02-29T08:24:37Z,343.55,2.73,3.342,13.8,87.2,449.2,160.3,166.0,1.0,343.55,0.0,0.0,0.0,0.0,,,,,
37619853549,10845411404,98364076,1,1,0,257,370,2024-02-27T07:03:30Z,1000.0,2.7,3.314,0.0,85.3,330.6,128.6,138.0,1.0,1000.0,0.0,0.0,0.0,0.0,,,,,
37619853550,10845411404,98364076,2,2,258,620,360,2024-02-27T07:09:42Z,1000.0,2.78,3.242,5.4,86.3,370.1,140.9,151.0,2.0,0.0,1000.0,0.0,0.0,0.0,,,,,
37619853551,10845411404,98364076,3,3,621,789,168,2024-02-27T07:16:20Z,485.6,2.89,3.568,2.8,86.9,381.4,148.8,154.0,2.0,0.0,485.6,0.0,0.0,0.0,,,,,
37619853552,10845411404,98364076,4,4,790,818,30,2024-02-27T07:19:09Z,130.85,4.36,4.904,3.4,98.6,601.4,163.2,169.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,
37619853553,10845411404,98364076,5,5,819,968,150,2024-02-27T07:19:38Z,367.07,2.45,3.46,7.6,84.3,372.5,153.4,170.0,1.0,367.07,0.0,0.0,0.0,0.0,,,,,
37619853555,10845411404,98364076,6,6,969,998,30,2024-02-27T07:22:08Z,144.23,4.81,5.982,0.0,99.6,610.2,162.5,171.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,
37619853556,10845411404,98364076,7,7,999,1148,150,2024-02-27T07:22:38Z,395.94,2.64,4.514,0.0,85.1,357.6,153.0,172.0,1.0,395.94,0.0,0.0,0.0,0.0,,,,,
37619853558,10845411404,98364076,8,8,1149,1451,302,2024-02-27T07:25:08Z,1000.0,3.31,4.096,0.0,89.1,426.0,160.0,164.0,3.0,0.0,0.0,1000.0,0.0,0.0,,,,,
37619853559,10845411404,98364076,9,9,1452,1753,301,2024-02-27T07:30:11Z,1000.0,3.32,4.032,2.0,89.2,423.8,162.1,167.0,3.0,0.0,0.0,1000.0,0.0,0.0,,,,,
37619853560,10845411404,98364076,10,10,1754,2056,303,2024-02-27T07:35:13Z,1000.0,3.3,3.878,4.4,89.5,430.5,165.5,169.0,3.0,0.0,0.0,1000.0,0.0,0.0,,,,,
37619853561,10845411404,98364076,11,11,2057,2350,292,2024-02-27T07:40:16Z,974.47,3.34,4.39,0.0,89.6,433.0,164.2,169.0,3.0,0.0,0.0,974.47,0.0,0.0,,,,,
37619853562,10845411404,98364076,12,12,2351,2529,180,2024-02-27T07:45:28Z,498.94,2.77,3.78,0.0,86.1,356.7,151.9,164.0,2.0,0.0,498.94,0.0,0.0,0.0,,,,,
37619853564,10845411404,98364076,13,13,2530,2559,30,2024-02-27T07:48:27Z,137.42,4.58,5.046,0.0,97.9,565.0,165.7,173.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,
37619853567,10845411404,98364076,14,14,2560,2709,150,2024-02-27T07:48:57Z,405.09,2.7,4.462,0.0,85.4,376.6,159.9,174.0,1.0,405.09,0.0,0.0,0.0,0.0,,,,,
37619853568,10845411404,98364076,15,15,2710,2739,30,2024-02-27T07:51:27Z,137.0,4.57,5.11,0.0,97.3,569.1,164.0,172.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,
37619853570,10845411404,98364076,16,16,2740,2889,150,2024-02-27T07:51:57Z,389.06,2.59,4.21,2.2,85.2,358.7,157.7,172.0,1.0,389.06,0.0,0.0,0.0,0.0,,,,,
37619853573,10845411404,98364076,17,17,2890,3192,302,2024-02-27T07:54:27Z,1000.0,3.31,3.764,0.0,89.3,422.6,162.4,166.0,3.0,0.0,0.0,1000.0,0.0,0.0,,,,,
37619853575,10845411404,98364076,18,18,3193,3497,304,2024-02-27T07:59:30Z,1000.0,3.29,3.668,0.0,89.2,400.4,160.3,166.0,3.0,0.0,0.0,1000.0,0.0,0.0,,,,,
37619853578,10845411404,98364076,19,19,3498,3798,301,2024-02-27T08:04:35Z,1000.0,3.32,4.072,0.0,89.7,425.1,164.0,168.0,3.0,0.0,0.0,1000.0,0.0,0.0,,,,,
37619853583,10845411404,98364076,20,20,3799,4090,291,2024-02-27T08:09:36Z,956.43,3.29,3.922,2.2,89.8,424.5,163.8,168.0,3.0,0.0,0.0,956.43,0.0,0.0,,,,,
37619853588,10845411404,98364076,21,21,4091,4270,180,2024-02-27T08:14:28Z,488.87,2.72,3.278,6.8,86.6,371.8,151.2,164.0,1.0,488.87,0.0,0.0,0.0,0.0,,,,,
37619853591,10845411404,98364076,22,22,4271,4452,300,2024-02-27T08:18:27Z,812.31,2.71,3.292,30.6,86.7,438.3,160.4,168.0,1.0,812.31,0.0,0.0,0.0,0.0,,,,,
37619853593,10845411404,98364076,23,23,4452,4452,7,2024-02-27T08:23:27Z,19.81,2.83,2.718,0.0,86.0,441.7,164.0,165.0,2.0,0.0,19.81,0.0,0.0,0.0,,,,,
37595118205,10838618314,98364076,1,1,0,257,384,2024-02-26T06:36:01Z,1000.0,2.6,3.59,0.0,86.4,318.1,127.5,142.0,1.0,1000.0,0.0,0.0,0.0,0.0,,,,,
37595118206,10838618314,98364076,2,2,258,626,368,2024-02-26T06:42:27Z,1000.0,2.72,3.444,0.0,87.6,346.7,141.4,148.0,1.0,1000.0,0.0,0.0,0.0,0.0,,,,,
37595118208,10838618314,98364076,3,3,627,992,365,2024-02-26T06:48:36Z,1000.0,2.74,3.198,0.0,87.7,357.9,143.2,147.0,2.0,0.0,1000.0,0.0,0.0,0.0,,,,,
37595118209,10838618314,98364076,4,4,993,1363,371,2024-02-26T06:54:42Z,1000.0,2.7,3.006,8.8,87.1,371.3,144.9,150.0,1.0,1000.0,0.0,0.0,0.0,0.0,,,,,
37595118210,10838618314,98364076,5,5,1364,1723,360,2024-02-26T07:00:53Z,1000.0,2.78,3.45,0.0,86.8,357.6,141.6,150.0,2.0,0.0,1000.0,0.0,0.0,0.0,,,,,
37595118213,10838618314,98364076,6,6,1724,2015,393,2024-02-26T07:06:53Z,1000.0,2.54,3.228,34.8,86.5,403.6,147.4,159.0,1.0,1000.0,0.0,0.0,0.0,0.0,,,,,
37595118216,10838618314,98364076,7,7,2015,2015,32,2024-02-26T07:14:51Z,85.81,2.68,2.998,0.0,86.7,373.0,155.6,160.0,1.0,85.81,0.0,0.0,0.0,0.0,,,,,
37541561723,10826065672,98364076,1,1,0,210,367,2024-02-24T10:37:15Z,1000.0,2.72,3.28,2.4,86.8,335.3,139.7,151.0,1.0,1000.0,0.0,0.0,0.0,0.0,,,,,
37541561732,10826065672,98364076,2,2,211,586,375,2024-02-24T10:44:14Z,1000.0,2.67,3.132,8.6,86.1,369.8,151.7,157.0,1.0,1000.0,0.0,0.0,0.0,0.0,,,,,
